0-24	0
25-49	0
50-74	0
75-99	0
100-124	0
125-149	40189
150-174	570
175-199	3726
200-224	20434
225-249	47325
250-274	33978
275-299	32808
300-324	45026
325-349	26058
350-374	12227
375-399	3316
400-424	942
425-449	1210
450-474	4955
475-499	15948
500-524	34438
525-549	28864
550-574	27254
575-599	27601
600-624	12861
625-649	10968
650-674	7843
675-699	2865
700-724	3099
725-749	6189
750-774	11661
775-799	17569
800-824	19335
825-849	16072
850-874	14497
875-899	10097
900-924	7529
925-949	7459
950-974	3118
975-999	3472
1000-1024	5627
1025-1049	7753
1050-1074	7241
1075-1099	8951
1100-1124	7486
1125-1149	5322
1150-1174	4953
1175-1199	3621
1200-1224	2808
1225-1249	1896
1250-1274	1793
1275-1299	2330
1300-1324	2991
1325-1349	2364
1350-1374	2366
1375-1399	1938
1400-1424	1398
1425-1449	1356
1450-1474	1031
1475-1499	610
1500-1524	539
1525-1549	515
1550-1574	503
1575-1599	576
1600-1624	514
1625-1649	385
1650-1674	342
1675-1699	258
1700-1724	206
1725-1749	169
1750-1774	109
1775-1799	75
1800-1824	91
1825-1849	74
1850-1874	72
1875-1899	44
1900-1924	40
1925-1949	36
1950-1974	25
1975-1999	22
2000-2024	18
2025-2049	9
2050-2074	3
2075-2099	7
2100-2124	9
2125-2149	4
2150-2174	2
2175-2199	5
2200-2224	2
2225-2249	4
2250-2274	1
2275-2299	1
2300-2324	1
2325-2349	0
2350-2374	0
2375-2399	0
2400-2424	0
2425-2449	1
2450-2474	0
2475-2499	0
